audience_freshness,rt_audience_score,rt_freshness,rt_score,imdb_rating,length,rank_in_year,rating,release_date,title,year,revenue,rated_r
92,4.3,89,7.5,7.8,136,7,PG-13,4-Apr-14,Captain America: The Winter Soldier,2014,712903691.1,FALSE
89,4.2,90,7.9,7.7,130,9,PG-13,11-Jul-14,Dawn of the Planet of the Apes,2014,706988165.9,FALSE
93,4.4,91,7.7,8.1,121,3,PG-13,1-Aug-14,Guardians of the Galaxy,2014,772158880,FALSE
86,4.2,72,7,8.7,169,10,PG-13,7-Nov-14,Interstellar,2014,671220455.1,FALSE
71,3.8,49,5.7,7.1,97,4,PG,30-May-14,Maleficent,2014,756677675.8,FALSE
66,3.7,53,5.9,6.9,142,8,PG-13,2-May-14,The Amazing Spider-Man 2,2014,707732953.7,FALSE
76,3.9,61,6.3,7.5,144,2,PG-13,17-Dec-14,The Hobbit: The Battle of the Five Armies,2014,952624490.3,FALSE
73,3.8,65,6.3,6.8,123,5,PG-13,21-Nov-14,The Hunger Games: Mockingjay - Part 1,2014,750140046.2,FALSE
52,3.3,18,3.9,5.8,165,1,PG-13,27-Jun-14,Transformers: Age of Extinction,2014,1088559995,FALSE
92,4.3,91,7.6,8.1,131,6,PG-13,23-May-14,X-Men: Days of Future Past,2014,746171720.8,FALSE
85,4.2,74,6.6,7.5,98,3,PG,3-Jul-13,Despicable Me 2,2013,983938347.1,FALSE
84,4.2,69,6.2,7.2,130,6,PG-13,24-May-13,Fast & Furious 6,2013,799384854.3,FALSE
86,4.3,89,7.7,7.7,102,1,PG,27-Nov-13,Frozen,2013,1291514392,FALSE
80,4,97,9,7.9,91,8,PG-13,4-Oct-13,Gravity,2013,726116532.7,FALSE
79,4,79,7,7.3,130,2,PG-13,3-May-13,Iron Man 3,2013,1231937550,FALSE
76,3.9,56,6.2,7.2,143,9,PG-13,14-Jun-13,Man of Steel,2013,677113113.9,FALSE
82,4,78,6.8,7.4,104,7,G,21-Jun-13,Monsters University,2013,753652179.8,FALSE
86,4.1,74,6.8,8,161,4,PG-13,13-Dec-13,The Hobbit: The Desolation of Smaug,2013,973402222,FALSE
90,4.3,89,7.5,7.7,146,5,PG-13,22-Nov-13,The Hunger Games: Catching Fire,2013,876652703.8,FALSE
78,3.9,65,6.2,7.1,112,10,PG-13,8-Nov-13,Thor: The Dark World,2013,653534988.2,FALSE
62,3.6,37,5.1,6.7,88,5,PG,13-Jul-12,Ice Age: Continental Drift,2012,902175843.8,FALSE
73,3.8,79,6.8,7,93,8,PG,8-Jun-12,Madagascar 3: Europe's Most Wanted,2012,768148576.6,FALSE
71,3.8,69,6.1,6.9,106,10,PG-13,25-May-12,Men in Black 3,2012,641761449.9,FALSE
86,4.1,92,8.2,7.8,143,2,PG-13,9-Nov-12,Skyfall,2012,1140066020,FALSE
77,3.9,72,6.7,7.1,136,7,PG-13,3-Jul-12,The Amazing Spider-Man,2012,779470849.5,FALSE
